,Cargo Metric TONS
0,224.02691548989293
1,535.1846637784449
2,204.20465734661838
3,260.68932782865244
4,423.8213985826616
5,-15.495014684977605
6,29.033099112804678
7,407.8563305621269
8,204.04742120200675
9,657.2461319268554
10,78.32228168594202
11,313.7325178906781
12,274.5880219347521
13,146.32567682044754
14,301.8712738703999
15,45.41651582919505
16,341.57086847961193
17,421.73182549629325
18,208.97069701340342
19,517.166912857833
20,81.65355078375262
21,320.3885028433683
22,231.53779909931623
23,165.65974788558273
24,21.420094946674055
25,77.62106556808217
26,212.29068200775012
27,251.8504678474444
28,24.742234364265357
29,115.6764225083279
30,-0.44963594909017957
31,276.47014774522285
32,114.57477759213744
33,33.847436114709524
34,254.77402061064703
35,169.5542414525936
36,97.84509478918677
37,203.4076396902811
38,-101.42341087069548
39,-30.210914766611722
40,339.28924616079377
41,-25.8621335252285
42,230.10974965255602
43,-69.13848852972507
44,464.7694753582847
45,175.94164503377306
46,-113.62148623535359
47,328.51047104726564
48,187.98634208385923
49,341.26322891526985
50,66.05692054463853
51,122.64230750704475
52,408.12624464500425
53,243.18795629613058
54,58.92702781843727
55,164.25901613047932
56,68.25108541383412
57,245.58712822343472
58,-112.25556631740642
59,42.15916741482002
60,477.5624207289199
61,145.2591034479401
62,116.57291484331206
63,192.1210568182072
64,190.18050695305482
65,281.5856557030546
66,120.00651023307368
67,512.7135722439995
68,209.04682507480848
69,266.1734351415713
70,66.25432377305643
71,175.38353259183253
72,254.21142500389288
73,123.39571513024718
74,226.98043725678465
75,77.47002462725379
76,212.24287975100754
77,305.6473436907714
78,53.08933455788289
79,236.51803072133248
80,7.88494455911902
81,165.5509745836706
82,207.81525387623557
83,372.66523354738985
84,330.70463591646126
85,77.08400704711647
86,86.87427044320881
87,275.10133061412495
88,207.9591417954436
89,187.66946371800114
90,382.48767065077345
91,171.3073240969241
92,227.66643063261807
93,180.09032499711725
94,245.48951117472248
95,193.39037220451053
96,221.45252621571825
97,45.866630386090975
98,146.9677309085792
99,552.2309509905535
100,417.6709892269108
101,468.7293307825521
102,-13.63833700152793
103,240.62223628213715
104,133.6836465194102
105,446.8283392935113
106,27.41569606021247
107,249.24766688497
108,-58.38342783587689
109,76.75689933026496
110,319.7399473546229
