,Cargo Metric TONS
0,153.3107499695986
1,533.6263772302202
2,248.4246233689439
3,284.63962970357846
4,511.83397776877763
5,-127.10000859281575
6,33.318703460770166
7,493.6228459276112
8,217.58875064933272
9,620.5013111825065
10,227.30128041927122
11,350.75669780586975
12,253.29407149901056
13,247.3286140062023
14,332.13092897956045
15,-35.17258172288237
16,262.22161776665257
17,511.8864376625679
18,254.7598823457468
19,538.0929745674682
20,107.01767325228388
21,148.76235891044286
22,281.8527225282659
23,244.5875447571791
24,-10.29087731079025
25,4.92024436730722
26,149.4212114640435
27,266.2160760597882
28,386.919244246714
29,154.75066175390577
30,-119.16355190033482
31,118.51281006861657
32,234.92297774901056
33,48.90666279541949
34,274.3099124336399
35,138.5401436555476
36,78.78641015325113
37,128.70799300783895
38,25.32978687449898
39,36.706959863388846
40,215.25053219312815
41,29.42916495521513
42,356.51231572351696
43,43.22615935292379
44,380.9537867539058
45,199.58745838332734
46,-80.51300619183371
47,252.15678219312815
48,129.02275237058058
49,366.89449288724575
50,-79.29512675164932
51,121.01099043365468
52,499.693223208
53,241.77182846077017
54,55.081959863388846
55,163.36235073396728
56,-77.27166765818635
57,253.134109590177
58,-95.06312034903061
59,-91.12112194968529
60,370.78403139280084
61,117.71020918365468
62,110.05870654148632
63,190.49164336175218
64,131.0462114640435
65,250.87034384019177
66,56.41695186011552
67,604.0080155945985
68,194.22380218593642
69,260.6728799447648
70,-74.89012583072878
71,17.959242086918408
72,280.64517141044286
73,156.6167411659979
74,222.11429635783378
75,59.18133794410497
76,112.92236400620229
77,351.1789591836547
78,-87.0308803915064
79,167.0028245797267
80,58.971498368943884
81,227.61862200947562
82,299.7490950066907
83,352.9401188081663
84,254.1802412865911
85,-58.09443512941942
86,68.66911468593642
87,235.96375064933272
88,110.95136480652963
89,246.7159236382226
90,365.0284134751536
91,281.8002626344756
92,243.54399528822776
93,119.35996054312298
94,6.133246888882411
95,213.69921214377766
96,274.3099124336399
97,45.0171242898644
98,159.06636788724575
99,626.2044692063633
100,348.9981204088209
101,533.8886766991716
102,47.040583383327345
103,251.53291187449895
104,245.5674543816907
105,519.665514673678
106,-10.656772544784872
107,256.9407211205806
108,-69.18696780687185
109,139.3039159967288
110,354.9635779016292
111,155.12436948790042
112,522.2200611825065
113,240.54062657025324
114,44.538496768289235
115,-70.29079093693855
116,276.86055269246833
117,27.14340639280084
118,372.91241027384433
119,-14.337795497716115
120,7.187140039849652
121,400.67217589884433
122,241.46807630097456
